Zeitstempel,"Which device do you own?
[If multiple pick the most recent one]",In what condition did you receive your device?,How long have you owned the device for?,Have you had to RMA your device?,Does your foldable screen open all the way?,Did your outer (small) screen break with no fault of your own ?,Did your inner (large) screen break with no fault of your own ?,What kind of screen protector do you use for your outer (small) screen?,What kind of screen protector do you use for your inner (large) screen?,Did your inner default screen protector peel or bubble up?,"Are you seeing micro cracks on the inner screen?
[Tiny scuffs especially at the middle part that look like scratches]",How is the surface of the inner screen holding up?,What is your screen usage?,How often do you fold your device in a day?
18.04.2024 11:22:43,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,4,More than 20 times a day
18.04.2024 11:38:36,I don't own any of them,,,,,,,,,,,,,
18.04.2024 11:43:34,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,5,11–15 times
18.04.2024 11:47:57,Z Fold 3,Used,Over 24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,7,11–15 times
18.04.2024 11:49:28,Z Fold 2,Factory new,Over 24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after more than 24 months",No,Completely fine,2,More than 20 times a day
18.04.2024 11:52:20,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,None,"Yes, after 7–12 months",No,Completely fine,6,0–5 times
18.04.2024 11:55:37,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,0–5 times
18.04.2024 11:58:12,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
18.04.2024 12:09:24,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, always visible",5,More than 20 times a day
18.04.2024 12:18:37,Z Fold 3,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,None,"Yes, after 0–6 months",No,Completely fine,3,11–15 times
18.04.2024 12:23:28,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",None,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 0–6 months",Completely fine,7,0–5 times
18.04.2024 12:32:06,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,More than 20 times a day
18.04.2024 12:38:42,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
18.04.2024 12:45:42,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,16–20 times
18.04.2024 12:46:30,Z Fold 5,Refurbished,0–6 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",None,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
18.04.2024 12:48:05,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months","Yes, since more than 24 months","Small scratches, only visible under a certain light",8,More than 20 times a day
18.04.2024 12:50:10,Z Fold 3,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",2,More than 20 times a day
18.04.2024 12:52:16,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,More than 20 times a day
18.04.2024 12:52:23,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months","Yes, since 0–6 months",Completely fine,3,0–5 times
18.04.2024 12:55:59,Z Fold 3,Factory new,Over 24 months,No,Yes,"Yes, but at fault of my own",No,Default factory one that is pre-applied,None,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, always visible",4,11–15 times
18.04.2024 13:02:46,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,More than 20 times a day
18.04.2024 13:17:51,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
18.04.2024 13:19:33,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
18.04.2024 13:20:07,Z Fold 4,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,0–5 times
18.04.2024 13:20:39,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2024 13:22:08,Z Fold 1,Used,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,9,6–10 times
18.04.2024 13:24:33,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
18.04.2024 13:29:18,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
18.04.2024 13:30:56,Z Fold 4,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,3rd party,"Yes, after 0–6 months",No,"Small scratches, only visible under a certain light",2,More than 20 times a day
18.04.2024 13:31:56,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,6,0–5 times
18.04.2024 13:33:30,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,9,More than 20 times a day
18.04.2024 13:33:42,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 13:34:55,Z Fold 3,Factory new,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,7,6–10 times
18.04.2024 13:37:39,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 13:37:44,Z Fold 4,Factory new,19–24 months,"Yes, 2x","No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,5,More than 20 times a day
18.04.2024 13:39:05,Z Fold 4,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
18.04.2024 13:39:10,Z Fold 5,Used,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
18.04.2024 13:42:06,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2024 13:42:13,Z Fold 4,Factory new,19–24 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",None,None,No,"Yes, since 7–12 months","Small scratches, only visible under a certain light",5,More than 20 times a day
18.04.2024 13:42:53,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,More than 20 times a day
18.04.2024 13:43:22,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
18.04.2024 13:43:29,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,No,3rd party,3rd party,"Yes, after 0–6 months",No,Completely fine,4,11–15 times
18.04.2024 13:52:43,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2024 14:05:31,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 14:07:14,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 13–18 months",None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,3,16–20 times
18.04.2024 14:10:50,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 14:14:22,Z Fold 4,Used,13–18 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",8,11–15 times
18.04.2024 14:19:15,Z Fold 4,Factory new,19–24 months,"Yes, 2x","No, 1–20° are missing to be flat",No,"Yes, after 13–18 months",A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, always visible",3,16–20 times
18.04.2024 14:20:23,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,9,0–5 times
18.04.2024 14:22:45,Z Fold 4,Factory new,13–18 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,4,6–10 times
18.04.2024 14:23:40,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,3,11–15 times
18.04.2024 14:24:55,Z Fold 4,Used,7–12 months,No,"No, 21–45° are missing to be flat",No,"Yes, after 0–6 months",3rd party,None,"Yes, after 0–6 months",No,Completely fine,3,11–15 times
18.04.2024 14:33:11,Z Fold 4,Used,13–18 months,No,Yes,No,No,None,None,"Yes, after 19–24 months",No,Completely fine,7,11–15 times
18.04.2024 14:35:24,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,"Yes, but at fault of my own","Yes, after 13–18 months",3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,7,0–5 times
18.04.2024 14:38:09,Z Fold 5,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,16–20 times
18.04.2024 14:42:57,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 0–6 months",No,"Small scratches, only visible under a certain light",7,More than 20 times a day
18.04.2024 14:43:18,Z Fold 5,Factory new,0–6 months,"Yes, 1x",Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,16–20 times
18.04.2024 14:43:53,Z Fold 2,Factory new,Over 24 months,No,"No, 21–45° are missing to be flat",No,"Yes, after 19–24 months",3rd party,3rd party,"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, always visible",7,More than 20 times a day
18.04.2024 14:45:34,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 14:47:04,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,11–15 times
18.04.2024 14:47:59,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
18.04.2024 14:48:37,Z Fold 4,Refurbished,0–6 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",9,0–5 times
18.04.2024 14:50:21,Z Fold 4,Factory new,7–12 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",4,6–10 times
18.04.2024 14:59:13,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,Completely fine,5,16–20 times
18.04.2024 15:00:49,Z Fold 4,Factory new,19–24 months,No,Yes,No,"Yes, after 19–24 months",None,None,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",5,11–15 times
18.04.2024 15:02:07,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
18.04.2024 15:05:56,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
18.04.2024 15:07:30,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",4,6–10 times
18.04.2024 15:08:40,Z Fold 4,Refurbished,13–18 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,4,More than 20 times a day
18.04.2024 15:09:45,Z Fold 3,Factory new,Over 24 months,No,"No, 21–45° are missing to be flat",No,No,3rd party,None,"Yes, after 7–12 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",8,More than 20 times a day
18.04.2024 15:11:41,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 13–18 months",None,Default factory one that is pre-applied,No,"Yes, since 13–18 months",Completely fine,7,16–20 times
18.04.2024 15:12:05,Z Fold 4,Factory new,13–18 months,No,"No, 21–45° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,"Yes, after 13–18 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 15:19:36,Z Fold 3,Factory new,13–18 months,No,Yes,No,No,Default factory one that is pre-applied,3rd party,"Yes, after 7–12 months",No,Completely fine,3,0–5 times
18.04.2024 15:34:20,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",3rd party,None,No,No,Completely fine,1,More than 20 times a day
18.04.2024 15:39:34,Z Fold 2,Damaged/broken,0–6 months,No,"No, 1–20° are missing to be flat",No,No,None,None,No,No,"Small scratches, only visible under a certain light",2,More than 20 times a day
18.04.2024 15:44:04,Z Fold 4,Factory new,13–18 months,No,Yes,No,"Yes, after 13–18 months",3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,7,0–5 times
18.04.2024 15:48:16,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,6,More than 20 times a day
18.04.2024 15:56:00,Z Fold 5,Factory new,0–6 months,No,Yes,"Yes, but at fault of my own",No,None,Default factory one that is pre-applied,No,No,Completely fine,2,0–5 times
18.04.2024 15:57:06,Z Fold 3,Factory new,Over 24 months,"Yes, 2x",Yes,"Yes, after more than 24 months","Yes, after 13–18 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 13–18 months",Completely fine,5,11–15 times
18.04.2024 16:06:17,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
18.04.2024 16:10:10,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
18.04.2024 16:14:55,Z Fold 5,Factory new,7–12 months,"Yes, 2x",Yes,No,"Yes, after 0–6 months",None,Samsung official replacement (e. g. at a Service Centre),No,No,Completely fine,5,11–15 times
18.04.2024 16:17:11,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
18.04.2024 16:19:52,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,None,No,No,"Small scratches, only visible under a certain light",4,16–20 times
18.04.2024 16:24:08,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,8,0–5 times
18.04.2024 16:26:29,Z Fold 4,Damaged/broken,0–6 months,No,Yes,No,No,3rd party,None,"Yes, after 13–18 months",No,Completely fine,4,More than 20 times a day
18.04.2024 16:30:32,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 16:31:54,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,16–20 times
18.04.2024 16:37:23,Z Fold 4,Refurbished,19–24 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,2,16–20 times
18.04.2024 16:38:50,Z Fold 4,Used,13–18 months,No,Yes,No,No,None,None,"Yes, after 0–6 months",No,Completely fine,5,More than 20 times a day
18.04.2024 16:39:54,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,8,6–10 times
18.04.2024 16:51:55,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
18.04.2024 16:52:57,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 16:56:05,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
18.04.2024 17:06:00,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,3,11–15 times
18.04.2024 17:06:58,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,3,11–15 times
18.04.2024 17:14:42,Z Fold 4,Refurbished,13–18 months,No,Yes,No,No,Default factory one that is pre-applied,None,"Yes, after 0–6 months",No,Completely fine,6,6–10 times
18.04.2024 17:19:54,Z Fold 2,Used,Over 24 months,No,Yes,No,No,None,3rd party,"Yes, after 7–12 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",4,6–10 times
18.04.2024 17:22:00,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,6,0–5 times
18.04.2024 17:26:25,Z Fold 5,Factory new,0–6 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",3rd party,None,No,"Yes, since 0–6 months",Completely fine,1,16–20 times
18.04.2024 17:27:08,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",Default factory one that is pre-applied,None,"Yes, after 0–6 months","Yes, since 7–12 months","Small scratches, always visible",10,More than 20 times a day
18.04.2024 17:37:40,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",6,6–10 times
18.04.2024 17:41:37,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, but at fault of my own",3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,4,0–5 times
18.04.2024 17:43:34,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
18.04.2024 17:43:47,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 17:47:19,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,3rd party,None,"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",3,0–5 times
18.04.2024 17:48:33,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
18.04.2024 17:48:52,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 17:59:33,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",5,16–20 times
18.04.2024 18:00:57,Z Fold 4,Used,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 18:08:43,Z Fold 3,Used,0–6 months,No,Yes,No,No,3rd party,None,"Yes, after 0–6 months",No,Completely fine,10,6–10 times
18.04.2024 18:08:50,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,8,6–10 times
18.04.2024 18:10:10,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,3,6–10 times
18.04.2024 18:12:07,Z Fold 5,Factory new,7–12 months,No,Yes,No,"Yes, after 0–6 months",3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
18.04.2024 18:21:41,Z Fold 4,Refurbished,Over 24 months,No,Yes,No,No,3rd party,None,"Yes, after 7–12 months",No,Completely fine,5,6–10 times
18.04.2024 18:21:44,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 13–18 months",None,None,"Yes, after 0–6 months","Yes, since 7–12 months","Larger scratches, always visible",4,6–10 times
18.04.2024 18:24:49,Z Fold 4,Used,13–18 months,No,Yes,No,No,3rd party,3rd party,No,No,"Small scratches, only visible under a certain light",5,16–20 times
18.04.2024 18:31:28,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",Default factory one that is pre-applied,3rd party,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",5,16–20 times
18.04.2024 18:34:38,Z Fold 4,Refurbished,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 18:37:43,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",9,16–20 times
18.04.2024 18:38:36,Z Fold 4,Factory new,0–6 months,No,"No, 1–20° are missing to be flat","Yes, but at fault of my own",No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,16–20 times
18.04.2024 18:56:20,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,3rd party,"Yes, after 7–12 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 19:03:41,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
18.04.2024 19:07:21,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",4,11–15 times
18.04.2024 19:07:46,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 19:12:23,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,4,0–5 times
18.04.2024 19:13:08,Z Fold 3,Factory new,Over 24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, but at fault of my own",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,8,0–5 times
18.04.2024 19:27:18,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 19:29:11,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,7,11–15 times
18.04.2024 19:30:13,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2024 19:32:27,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,None,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",8,6–10 times
18.04.2024 19:32:49,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,8,11–15 times
18.04.2024 19:36:59,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 7–12 months",No,Completely fine,5,16–20 times
18.04.2024 19:48:22,Z Fold 4,Factory new,0–6 months,"Yes, 1x",Yes,No,No,3rd party,3rd party,"Yes, after 0–6 months",No,Completely fine,8,6–10 times
18.04.2024 19:51:42,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
18.04.2024 19:51:47,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
18.04.2024 19:52:40,Z Fold 4,Factory new,13–18 months,"Yes, 2x","No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,6,6–10 times
18.04.2024 19:54:10,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,11–15 times
18.04.2024 19:55:33,Z Fold 5,Factory new,0–6 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",9,More than 20 times a day
18.04.2024 20:01:48,Z Fold 4,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,9,11–15 times
18.04.2024 20:06:12,Z Fold 4,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 20:14:05,Z Fold 4,Factory new,7–12 months,No,Yes,No,"Yes, after 7–12 months",None,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 20:21:57,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 20:24:23,Z Fold 5,Used,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,6–10 times
18.04.2024 20:29:31,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 20:30:23,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,5,6–10 times
18.04.2024 20:31:23,Z Fold 3,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 19–24 months",None,3rd party,"Yes, after 7–12 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 20:32:33,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
18.04.2024 20:33:45,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
